question,answer
Who is the instructor for & Central Japanese Recession (2)?,The instructor of & Central Japanese Recession (2) is Yasda canae..
How many credits is & Central Japanese Recession (2) worth?,& Central Japanese Recession (2) is worth 2.0 credits.
When and where is & Central Japanese Recession (2) held?,"& Central Japanese Recession (2) is held at March 3, 4 in Human Social Science View (205)."
What type of course is & Central Japanese Recession (2)?,& Central Japanese Recession (2) is classified as a Theory course.
Are there any additional notes for & Central Japanese Recession (2)?,Notes: Nan
What is the course code for & Central Japanese Recession (2)?,The course code for & Central Japanese Recession (2) is JPAN2108.
Who is the instructor for & Central Japanese Recession (2)?,The instructor of & Central Japanese Recession (2) is Shivata Yoko..
How many credits is & Central Japanese Recession (2) worth?,& Central Japanese Recession (2) is worth 2.0 credits.
When and where is & Central Japanese Recession (2) held?,"& Central Japanese Recession (2) is held at March 3, 4 in Human Social Science View (202)."
What type of course is & Central Japanese Recession (2)?,& Central Japanese Recession (2) is classified as a Theory course.
Are there any additional notes for & Central Japanese Recession (2)?,Notes: Nan
What is the course code for Lead Design 2?,The course code for Lead Design 2 is GUID200002.
Who is the instructor for Lead Design 2?,The instructor of Lead Design 2 is Shin-chul.
How many credits is Lead Design 2 worth?,Lead Design 2 is worth 1.0 credits.
When and where is Lead Design 2 held?,Lead Design 2 is held at Thirsty. in Human Social Science View (205).
What type of course is Lead Design 2?,Lead Design 2 is classified as a Theory course.
Are there any additional notes for Lead Design 2?,Notes: You can't ask me to be a cadet.
What is the course code for Global Capston Design (Japan Culture 2)?,The course code for Global Capston Design (Japan Culture 2) is JPAN3201.
Who is the instructor for Global Capston Design (Japan Culture 2)?,The instructor of Global Capston Design (Japan Culture 2) is Park-hee-young..
How many credits is Global Capston Design (Japan Culture 2) worth?,Global Capston Design (Japan Culture 2) is worth 3.0 credits.
When and where is Global Capston Design (Japan Culture 2) held?,"Global Capston Design (Japan Culture 2) is held at Number 6, 7, 8, 9. in Human Social Science View (301)."
What type of course is Global Capston Design (Japan Culture 2)?,Global Capston Design (Japan Culture 2) is classified as a Theoretical Practice course.
Are there any additional notes for Global Capston Design (Japan Culture 2)?,Notes: Nan
What is the course code for Work Japanese Documentation (2)?,The course code for Work Japanese Documentation (2) is JPAN3104.
Who is the instructor for Work Japanese Documentation (2)?,The instructor of Work Japanese Documentation (2) is Yasda canae..
How many credits is Work Japanese Documentation (2) worth?,Work Japanese Documentation (2) is worth 2.0 credits.
When and where is Work Japanese Documentation (2) held?,"Work Japanese Documentation (2) is held at Gold 2, 3. in Human Social Science View (205)."
What type of course is Work Japanese Documentation (2)?,Work Japanese Documentation (2) is classified as a Theory course.
Are there any additional notes for Work Japanese Documentation (2)?,Notes: Nan
What is the course code for Work Japanese Documentation (2)?,The course code for Work Japanese Documentation (2) is JPAN3104.
Who is the instructor for Work Japanese Documentation (2)?,The instructor of Work Japanese Documentation (2) is Shivata Yoko..
How many credits is Work Japanese Documentation (2) worth?,Work Japanese Documentation (2) is worth 2.0 credits.
When and where is Work Japanese Documentation (2) held?,"Work Japanese Documentation (2) is held at Gold 2, 3. in Human Social Science View (202)."
What type of course is Work Japanese Documentation (2)?,Work Japanese Documentation (2) is classified as a Theory course.
Are there any additional notes for Work Japanese Documentation (2)?,Notes: Nan
What is the course code for Zilmu Japanese (2)?,The course code for Zilmu Japanese (2) is JPAN3106.
Who is the instructor for Zilmu Japanese (2)?,The instructor of Zilmu Japanese (2) is Yasda canae..
How many credits is Zilmu Japanese (2) worth?,Zilmu Japanese (2) is worth 2.0 credits.
When and where is Zilmu Japanese (2) held?,"Zilmu Japanese (2) is held at Gold 6, 7 in Human Social Science View (205)."
What type of course is Zilmu Japanese (2)?,Zilmu Japanese (2) is classified as a Theory course.
Are there any additional notes for Zilmu Japanese (2)?,Notes: Nan
What is the course code for Zilmu Japanese (2)?,The course code for Zilmu Japanese (2) is JPAN3106.
Who is the instructor for Zilmu Japanese (2)?,The instructor of Zilmu Japanese (2) is Shivata Yoko..
How many credits is Zilmu Japanese (2) worth?,Zilmu Japanese (2) is worth 2.0 credits.
When and where is Zilmu Japanese (2) held?,"Zilmu Japanese (2) is held at Gold 6, 7 in Human Social Science View (202)."
What type of course is Zilmu Japanese (2)?,Zilmu Japanese (2) is classified as a Theory course.
Are there any additional notes for Zilmu Japanese (2)?,Notes: Nan
What is the course code for Japanese Forum?,The course code for Japanese Forum is JPAN3204.
Who is the instructor for Japanese Forum?,The instructor of Japanese Forum is The Park Comet.
How many credits is Japanese Forum worth?,Japanese Forum is worth 3.0 credits.
When and where is Japanese Forum held?,"Japanese Forum is held at Tuesday 6,7,8 in Human Social Science View (205)."
What type of course is Japanese Forum?,Japanese Forum is classified as a Theory course.
Are there any additional notes for Japanese Forum?,Notes: Nan
What is the course code for Japanese Culture (2)?,The course code for Japanese Culture (2) is JPAN3206.
Who is the instructor for Japanese Culture (2)?,The instructor of Japanese Culture (2) is Park-hee-young..
How many credits is Japanese Culture (2) worth?,Japanese Culture (2) is worth 3.0 credits.
When and where is Japanese Culture (2) held?,"Japanese Culture (2) is held at Number 2, 3, 4. in Human Social Science View (301)."
What type of course is Japanese Culture (2)?,Japanese Culture (2) is classified as a Theory course.
Are there any additional notes for Japanese Culture (2)?,Notes: Nan
What is the course code for Japanese Culture (2)?,The course code for Japanese Culture (2) is JPAN3206.
Who is the instructor for Japanese Culture (2)?,The instructor of Japanese Culture (2) is Park-hee-young..
How many credits is Japanese Culture (2) worth?,Japanese Culture (2) is worth 3.0 credits.
When and where is Japanese Culture (2) held?,"Japanese Culture (2) is held at throat 2, 3, 4. in Human Social Science View (301)."
What type of course is Japanese Culture (2)?,Japanese Culture (2) is classified as a Theory course.
Are there any additional notes for Japanese Culture (2)?,Notes: Nan
What is the course code for Japanese novel and storytelling?,The course code for Japanese novel and storytelling is JPAN3207.
Who is the instructor for Japanese novel and storytelling?,The instructor of Japanese novel and storytelling is Yoon-seok.
How many credits is Japanese novel and storytelling worth?,Japanese novel and storytelling is worth 3.0 credits.
When and where is Japanese novel and storytelling held?,"Japanese novel and storytelling is held at Month 2,3,4 in Human Social Science View (206)."
What type of course is Japanese novel and storytelling?,Japanese novel and storytelling is classified as a Theory course.
Are there any additional notes for Japanese novel and storytelling?,Notes: Nan
What is the course code for Japanese Original Language?,The course code for Japanese Original Language is JPAN3107.
Who is the instructor for Japanese Original Language?,The instructor of Japanese Original Language is Song Mi-yeon.
How many credits is Japanese Original Language worth?,Japanese Original Language is worth 3.0 credits.
When and where is Japanese Original Language held?,"Japanese Original Language is held at Thirst 6,7,8 in Human Social Science View (206)."
What type of course is Japanese Original Language?,Japanese Original Language is classified as a Theory course.
Are there any additional notes for Japanese Original Language?,Notes: Nan
What is the course code for Lead Design 3?,The course code for Lead Design 3 is GUID300002.
Who is the instructor for Lead Design 3?,The instructor of Lead Design 3 is Kim Jong-young..
How many credits is Lead Design 3 worth?,Lead Design 3 is worth 1.0 credits.
When and where is Lead Design 3 held?,Lead Design 3 is held at Thirsty. in Human Social Science View (202).
What type of course is Lead Design 3?,Lead Design 3 is classified as a Theory course.
Are there any additional notes for Lead Design 3?,Notes: You can't ask me to be a cadet.
What is the course code for Work This Cultural Communication Education (2)?,The course code for Work This Cultural Communication Education (2) is JPAN3210.
Who is the instructor for Work This Cultural Communication Education (2)?,The instructor of Work This Cultural Communication Education (2) is Kim Jong-young..
How many credits is Work This Cultural Communication Education (2) worth?,Work This Cultural Communication Education (2) is worth 3.0 credits.
When and where is Work This Cultural Communication Education (2) held?,"Work This Cultural Communication Education (2) is held at Fire 2, 3, 4. in Human Social Science View (205)."
What type of course is Work This Cultural Communication Education (2)?,Work This Cultural Communication Education (2) is classified as a Theory course.
